Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Representative_Periods,Hours_per_period,Representative_Period_Index,Representative_Period_Weight,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,,,,419,17198,24957,13581,18413,31417,16909
,,,,,,,,420,19005,27424,13883,20032,32357,17687
,,,,,,,,421,20770,29942,14345,22036,32994,18291
,,,,,,,,422,22610,32543,14586,23525,32938,18506
,,,,,,,,423,25350,36440,14852,25274,33700,19149
,,,,,,,,424,29397,42029,15474,27747,35978,20781
,,,,,,,,425,33063,46873,16512,30514,38917,22395
,,,,,,,,426,34825,48871,17382,32084,41019,23734
,,,,,,,,427,31305,43932,17499,31444,37780,21455
,,,,,,,,428,26795,37604,15897,27937,33136,18295
,,,,,,,,429,25987,36469,14397,24989,31543,17490
,,,,,,,,430,24562,34470,13597,22706,29321,16580
,,,,,,,,431,21820,30621,12472,20305,26040,15058
,,,,,,,,432,19566,27457,11348,18302,23711,13918
,,,,,,,,433,17760,24923,10657,16847,22073,13132
,,,,,,,,434,16806,23585,10206,15868,21248,12729
,,,,,,,,435,16159,22676,9963,15297,20778,12356
,,,,,,,,436,15766,22258,9887,15069,21112,12340
,,,,,,,,437,15020,21709,10106,15162,22081,12404
,,,,,,,,438,15052,22502,10630,14953,24530,13225
,,,,,,,,439,15364,24300,11671,15251,27940,14396
,,,,,,,,440,17000,26869,12805,16185,30800,15731
,,,,,,,,441,17659,26985,13642,17212,31461,15952
,,,,,,,,442,18365,25840,13895,17814,31453,16199
,,,,,,,,443,19683,26054,14041,18565,32070,16593
,,,,,,,,444,21644,28350,14411,20302,33036,17270
,,,,,,,,445,23655,31454,14848,22405,33627,17716
,,,,,,,,446,25946,34520,15202,24316,33703,17860
,,,,,,,,447,28532,38486,15517,26265,34339,18612
,,,,,,,,448,31659,44277,16160,28725,36688,20248
,,,,,,,,449,34718,49044,17237,31441,39530,22010
,,,,,,,,450,36210,50816,18203,32934,41612,23435
,,,,,,,,451,32640,45806,18246,32375,38254,21143
,,,,,,,,452,28114,39454,16643,29024,33419,18274
,,,,,,,,453,27047,37956,15009,25999,31768,17468
,,,,,,,,454,25344,35565,14106,23543,29565,16688
,,,,,,,,455,22559,31658,12927,20910,26440,15084
,,,,,,,,456,20173,28309,11740,18847,23987,14290
,,,,,,,,457,18549,26031,10945,17551,22366,13335
,,,,,,,,458,17484,24537,10412,16521,21394,12878
,,,,,,,,459,16759,23519,10101,15909,20862,12484
,,,,,,,,460,16447,23137,10038,15630,21149,12409
,,,,,,,,461,15678,22112,10193,15573,22001,12451
,,,,,,,,462,15617,21972,10642,15231,24404,13124
,,,,,,,,463,16160,22868,11661,15697,27675,14250
,,,,,,,,464,17819,24879,12817,16832,30471,15540
,,,,,,,,465,18778,25581,13728,18130,31402,15902
,,,,,,,,466,19689,26185,14082,19099,31463,16316
,,,,,,,,467,20818,27980,14297,20214,32279,16875
,,,,,,,,468,22442,30608,14732,22450,33279,17515
,,,,,,,,469,23765,32683,15144,24017,33959,18043
,,,,,,,,470,25237,35435,15506,25761,34104,18296
