R_ID,Zone_name,Zone,Resource,Cluster,New_Build,Num_Units,Cap_size,Existing_Cap_MW,Existing_Cap_MWh,Max_Cap_MW,capex,Inv_cost_per_MWyr,capex_mwh,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWyr,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh,Fuel,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Commit,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Up_time,Down_time,Charge_efficiency,Discharge_efficiency,Min_Duration,Max_Duration,THERM,VRE,MUSTRUN,STOR,HYDRO,RPS,CES
104,WECC_NMAZ,4,new_utility_pv,WECC_NMAZ_0,1,0,0,0,0,287169.392,656055.873,95310,0,0,7143,0,11.2,biogas,8.8,0,0,0.3,1,1,0,118,3.5,1,1,1,1,0,0,0,0,1,0,0,0,1
105,WECC_NMAZ,4,new_utility_pv,WECC_NMAZ_1,1,0,0,0,0,287169.392,656055.873,95310,0,0,7143,0,11.2,biogas,8.8,0,0,0.3,1,1,0,118,3.5,1,1,1,1,0,0,0,0,1,0,0,0,1
106,WECC_NMAZ,4,new_utility_pv,WECC_NMAZ_2,1,0,0,0,0,287169.392,0,0,0,0,135226,0,0,None,9.12,0,0,0.429,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1
107,WECC_NMAZ,4,new_utility_pv,WECC_NMAZ_3,1,0,0,0,0,287169.392,0,0,0,0,135226,0,0,None,9.12,0,0,0.435,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1
108,WECC_NMAZ,4,new_utility_pv,WECC_NMAZ_4,1,0,0,0,0,287169.392,0,0,0,0,97272,0,0,None,9.1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
109,WECC_NMAZ,4,new_utility_pv,WECC_NMAZ_5,1,0,0,0,0,287169.392,0,0,0,0,135226,0,0,None,9.12,0,0,0.364,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1
110,WECC_NMAZ,4,new_utility_pv,WECC_NMAZ_6,1,0,0,0,0,287169.392,0,0,0,0,104385,0,5.2,None,12.62,1.184,0.724,0.652,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
111,WECC_NMAZ,4,new_utility_pv,WECC_NMAZ_7,1,0,0,0,0,287169.392,0,0,0,0,82854,0,4.1,None,10.01,2.218,1.527,0.34,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
112,WECC_NMAZ,4,new_utility_pv,WECC_NMAZ_8,1,0,0,0,0,287169.392,0,0,0,0,64294,0,3.2,None,7.77,4.339,2.041,0.374,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
113,WECC_NMAZ,4,new_utility_pv,WECC_NMAZ_9,1,0,0,0,0,287169.392,0,0,0,0,97272,0,0,None,0,0,0,0.055,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
