Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Representative_Periods,Hours_per_period,Representative_Period_Index,Representative_Period_Weight,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,,,,312,13466,18898,10224,17321,22549,11938
,,,,,,,,313,12660,17766,9967,16982,21545,11788
,,,,,,,,314,12184,17099,9829,16792,21058,11876
,,,,,,,,315,11836,16610,9784,16768,20882,12092
,,,,,,,,316,11707,16430,9877,16985,21045,12191
,,,,,,,,317,11658,16247,10104,17632,21466,12441
,,,,,,,,318,10751,13999,10559,17867,22509,12744
,,,,,,,,319,9370,11579,11007,17060,24093,12819
,,,,,,,,320,8186,9825,11417,16116,25560,12952
,,,,,,,,321,7026,9339,11766,15322,26926,12988
,,,,,,,,322,6683,9310,11835,14637,27509,12929
,,,,,,,,323,6844,9567,11715,14051,27553,12708
,,,,,,,,324,7663,10234,11551,13848,27212,12527
,,,,,,,,325,9352,11552,11356,14002,26746,12352
,,,,,,,,326,11298,13683,11158,14538,26279,12091
,,,,,,,,327,12783,16568,11071,15596,25873,12136
,,,,,,,,328,13438,18832,11134,17011,25783,12330
,,,,,,,,329,13672,19186,11470,17974,26143,12984
,,,,,,,,330,14741,20686,12076,19386,27220,13527
,,,,,,,,331,16055,22532,12246,19840,27894,13478
,,,,,,,,332,15941,22370,12067,19637,27424,13369
,,,,,,,,333,15570,21851,11770,19188,26742,13166
,,,,,,,,334,14938,20965,11360,18443,25675,12597
,,,,,,,,335,13989,19632,10804,17745,24216,12111
,,,,,,,,336,13018,18269,10376,17199,22848,11925
,,,,,,,,337,13336,18715,8857,16702,17624,10639
,,,,,,,,338,12783,17940,8682,16268,17163,10391
,,,,,,,,339,12528,17582,8642,15964,16965,10167
,,,,,,,,340,11990,16824,8630,15836,16919,10157
,,,,,,,,341,10846,15176,8693,15260,17163,10214
,,,,,,,,342,9148,12921,8863,14549,17515,10291
,,,,,,,,343,7270,10488,9171,14166,18376,10574
,,,,,,,,344,6480,9500,9426,14204,19512,10822
,,,,,,,,345,6370,9260,9801,14536,20689,11375
,,,,,,,,346,6375,9390,9876,15035,21202,11562
,,,,,,,,347,6648,9778,9969,15637,21345,11633
,,,,,,,,348,7374,10738,9927,16407,21242,11773
,,,,,,,,349,8356,12102,9833,17335,20964,11816
,,,,,,,,350,9840,14191,9798,18608,20723,11935
,,,,,,,,351,11304,16322,9811,20038,20492,11928
,,,,,,,,352,12903,18720,9858,21543,20501,11924
,,,,,,,,353,14147,20228,9900,22530,20658,11958
,,,,,,,,354,14816,20791,9967,22396,20726,11969
,,,,,,,,355,14971,21010,10008,21977,20836,11946
,,,,,,,,356,15149,21260,10096,21818,20962,12155
,,,,,,,,357,15907,22323,10117,21087,21149,12029
,,,,,,,,358,15820,22201,9750,19898,20685,11502
,,,,,,,,359,14876,20878,9196,18557,19405,10886
,,,,,,,,360,13963,19596,8783,17547,18139,10588
,,,,,,,,361,13288,18649,8561,16812,17466,10373
,,,,,,,,362,12785,17942,8400,16316,17042,10270
,,,,,,,,363,12407,17412,8358,16020,16902,10197
,,,,,,,,364,11915,16720,8467,15952,16909,10213
,,,,,,,,365,10851,15313,8554,15476,17241,10246
,,,,,,,,366,9203,13533,8742,14756,17700,10413
,,,,,,,,367,7586,11558,9083,14319,18671,10606
,,,,,,,,368,6847,10555,9553,14580,19801,10859
,,,,,,,,369,6660,10618,9947,15268,21084,11332
,,,,,,,,370,6907,10704,10207,16188,22034,11511
,,,,,,,,371,7601,11857,10313,17249,22409,11650
,,,,,,,,372,8405,12496,10329,18372,22331,11691
,,,,,,,,373,9766,14671,10365,19684,22099,11790
,,,,,,,,374,11109,16495,10372,21275,21850,11967
,,,,,,,,375,12799,19099,10523,23012,21727,12284
,,,,,,,,376,14548,21168,10613,24557,21858,12473
,,,,,,,,377,15873,22728,10778,25539,22084,12788
,,,,,,,,378,16556,23234,10778,25362,22272,12781
,,,,,,,,379,16533,23203,10802,24765,22314,12708
,,,,,,,,380,16507,23165,10869,24188,22401,12847
,,,,,,,,381,17188,24121,10745,22907,22508,12640
,,,,,,,,382,16946,23782,10233,21119,21791,11898
,,,,,,,,383,15669,21990,9519,19397,20022,11226
,,,,,,,,384,14399,20208,8998,18150,18617,10925
,,,,,,,,385,13601,19087,8699,17200,17807,10662
,,,,,,,,386,13107,18393,8576,16670,17450,10563
,,,,,,,,387,12791,17951,8606,16428,17416,10501
,,,,,,,,388,12363,17512,8827,16616,17911,10638
,,,,,,,,389,11627,16584,9348,16633,19098,11101
,,,,,,,,390,10761,15477,10077,16648,21124,11686
,,,,,,,,391,10061,14441,10720,16719,23255,11923
,,,,,,,,392,9772,14252,11088,17035,24166,12112
,,,,,,,,393,9585,14274,11287,17675,24256,12479
,,,,,,,,394,9841,14995,11500,18817,24246,12731
,,,,,,,,395,10337,16355,11646,20064,24207,12902
,,,,,,,,396,11201,18388,11719,21464,24109,12995
,,,,,,,,397,12241,19901,11926,23024,24046,13187
,,,,,,,,398,13855,21674,12035,24622,23880,13480
,,,,,,,,399,15743,23718,12187,26297,23772,13766
,,,,,,,,400,17653,25676,12190,27741,23724,13843
,,,,,,,,401,18763,26748,12155,28477,23749,13894
,,,,,,,,402,19158,26885,12087,28157,23658,13734
,,,,,,,,403,18846,26448,11944,27261,23539,13598
,,,,,,,,404,18454,25898,11860,26429,23651,13706
,,,,,,,,405,18866,26477,11695,24886,23748,13551
,,,,,,,,406,18414,25842,10978,22847,22857,12668
,,,,,,,,407,16809,23589,10183,20822,21008,11942
,,,,,,,,408,15412,21628,9608,19376,19436,11474
,,,,,,,,409,14373,20171,9255,18317,18468,11182
,,,,,,,,410,13675,19190,9102,17610,18116,10966
,,,,,,,,411,13257,18605,9065,17251,17958,10872
,,,,,,,,412,12759,17919,9174,17340,18196,10943
,,,,,,,,413,11923,16791,9563,17351,19127,11325
,,,,,,,,414,10809,15366,10265,17388,20919,11853
,,,,,,,,415,9947,14381,10894,17483,22912,12217
,,,,,,,,416,10014,14636,11264,17703,23863,12514
,,,,,,,,417,9725,14432,11470,18335,24002,12941
,,,,,,,,418,9950,14749,11725,19442,24033,13194
,,,,,,,,419,10559,15638,11880,20765,24003,13412
,,,,,,,,420,11499,16889,12102,22397,24023,13589
,,,,,,,,421,12698,18613,12213,23809,24046,13758
,,,,,,,,422,14404,21025,12418,25554,23996,13927
,,,,,,,,423,16309,23752,12576,27264,23993,14116
,,,,,,,,424,18267,26409,12668,28704,24000,14104
,,,,,,,,425,19567,27933,12611,29470,24102,14063
,,,,,,,,426,19886,27908,12543,28982,24033,13795
,,,,,,,,427,19469,27322,12385,28033,23870,13556
,,,,,,,,428,19020,26692,12297,27169,23909,13577
,,,,,,,,429,19351,27156,12074,25600,23934,13299
,,,,,,,,430,18902,26527,11410,23455,23027,12460
,,,,,,,,431,17256,24217,10565,21412,21074,11710
,,,,,,,,432,15692,22022,9957,19814,19516,11310
,,,,,,,,433,14657,20569,9565,18636,18532,11082
,,,,,,,,434,13919,19533,9347,17861,18023,10904
,,,,,,,,435,13489,18929,9289,17488,17819,10833
,,,,,,,,436,13022,18406,9417,17569,18023,10977
,,,,,,,,437,12270,17848,9826,17630,18935,11446
,,,,,,,,438,11693,17784,10477,17489,20594,11957
,,,,,,,,439,10920,18057,11151,17649,22560,12353
,,,,,,,,440,11232,18768,11638,18266,23682,12422
,,,,,,,,441,11623,18510,11956,19182,24060,12776
,,,,,,,,442,12409,17483,12240,20463,24325,12908
,,,,,,,,443,13235,17011,12471,21993,24504,13034
,,,,,,,,444,14392,18180,12666,23725,24560,13078
,,,,,,,,445,15870,20533,12895,25586,24560,13179
,,,,,,,,446,18041,23431,13156,27625,24617,13413
,,,,,,,,447,19864,26324,13355,29548,24513,13599
,,,,,,,,448,21015,29342,13475,31023,24554,13689
,,,,,,,,449,21854,30992,13466,31786,24571,13684
,,,,,,,,450,22104,31019,13325,31222,24454,13428
,,,,,,,,451,21603,30317,13184,30210,24242,13423
