Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Time_index,Load_MW_z8,Load_MW_z12,Load_MW_z5,Load_MW_z6,Load_MW_z9,Load_MW_z7,Load_MW_z1,Load_MW_z4,Load_MW_z3,Load_MW_z2,Load_MW_z11,Load_MW_z10
,,,,157,9084.594243,7373.167912,2233.049941,1381.600392,2398.101478,3839.460589,11811.68009,18348.91986,2149.099318,11364.27907,2851.108227,1868.618776
,,,,158,9635.685928,7588.570883,2347.894241,1437.016727,2509.701321,3925.177959,12184.7718,19243.89869,2221.203209,11704.22622,2961.60925,1902.758946
,,,,159,10109.28372,7806.138707,2488.293165,1514.479344,2570.466033,3972.946255,12786.65947,20459.85134,2329.812845,12252.9217,3115.745048,1984.978172
,,,,160,10193.68515,7999.243682,2613.238107,1576.910406,2653.896091,3914.736034,13142.20579,21625.29796,2395.563526,12562.71632,3235.03363,2057.096756
,,,,161,10036.21496,8199.059704,2685.65971,1630.322534,2702.896409,3938.251799,13563.79942,22660.97215,2475.129917,12966.09473,3353.312149,2111.236198
,,,,162,9785.169277,8271.257584,2682.326498,1639.341467,2700.198153,3989.102414,13976.72118,23237.08157,2555.906443,13374.91875,3410.481782,2115.276455
,,,,163,9584.419075,8272.340011,2637.68166,1635.333052,2675.697994,4009.557838,14064.34732,23265.74174,2573.655093,13495.93227,3382.401998,2103.256691
,,,,164,9328.840323,8175.787524,2588.693547,1623.307808,2627.669048,3979.624104,13989.72897,22995.27395,2566.091748,13421.20642,3329.979665,2063.157142
,,,,165,9088.04801,8133.572871,2519.504149,1582.021135,2584.928682,3938.303116,13813.77086,22501.53745,2531.905428,13274.98175,3269.880845,2027.09785
,,,,166,8953.45903,8253.505781,2442.638263,1551.757603,2553.197199,3899.253959,13615.72975,21943.06505,2502.862183,13122.20218,3221.397764,2006.997572
,,,,167,8879.203041,8411.107151,2440.416122,1542.738669,2544.131061,3876.526705,13457.11535,21584.61255,2477.651032,12989.18815,3202.004531,2016.997208
,,,,168,9019.620253,8779.67354,2484.959953,1589.035861,2601.334075,3901.240691,13473.75323,21647.34424,2476.340052,12991.20504,3225.337014,2085.176541
,,,,169,9670.007737,9364.617084,2665.559432,1695.759906,2829.066832,4128.684292,13879.11233,22665.3814,2545.821983,13371.1875,3416.239148,2225.575466
