Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,,,,311,14311.0,22309.0,14826.0,26994.0,27076.0,12430.0
,,,,,,,,312,13367.0,20833.0,14492.0,26403.0,24627.0,13674.0
,,,,,,,,313,15269.0,23764.0,15320.0,26216.0,25487.0,12810.0
,,,,,,,,314,15440.0,24035.0,14865.0,25562.0,24071.0,13207.0
,,,,,,,,315,16189.0,25204.0,15016.0,25183.0,24428.0,13134.0
,,,,,,,,316,15795.0,24585.0,15002.0,24777.0,24666.0,13041.0
,,,,,,,,317,15471.0,24071.0,15152.0,24645.0,24959.0,13824.0
,,,,,,,,318,15912.0,24756.0,15966.0,24971.0,26838.0,14505.0
,,,,,,,,319,16213.0,25230.0,16717.0,25947.0,29518.0,14522.0
,,,,,,,,320,16869.0,26261.0,17378.0,27688.0,31835.0,15375.0
,,,,,,,,321,18570.0,28919.0,18660.0,30762.0,34053.0,17055.0
,,,,,,,,322,20868.0,32505.0,20119.0,34264.0,36209.0,18426.0
,,,,,,,,323,22811.0,35544.0,21453.0,37645.0,37613.0,19836.0
,,,,,,,,324,24623.0,38376.0,22636.0,40909.0,38581.0,21506.0
,,,,,,,,325,26354.0,41082.0,23691.0,43770.0,40173.0,21744.0
,,,,,,,,326,26782.0,41750.0,23611.0,44335.0,39706.0,21343.0
,,,,,,,,327,24216.0,37721.0,23660.0,45711.0,38016.0,21299.0
,,,,,,,,328,24661.0,38416.0,24404.0,46743.0,38625.0,22500.0
,,,,,,,,329,25498.0,39729.0,24891.0,46673.0,40300.0,22041.0
