Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,309,0.0,33085.0,2952.0
,,,,,,,,310,0.0,31491.0,2880.0
,,,,,,,,311,0.0,30594.0,2843.0
,,,,,,,,312,0.0,30129.0,2833.0
,,,,,,,,313,0.0,30028.0,2855.0
,,,,,,,,314,0.0,30233.0,2897.0
,,,,,,,,315,0.0,31009.0,2945.0
,,,,,,,,316,0.0,32391.0,3018.0
,,,,,,,,317,0.0,34066.0,3117.0
,,,,,,,,318,0.0,35349.0,3173.0
,,,,,,,,319,0.0,36138.0,3172.0
,,,,,,,,320,0.0,35942.0,3109.0
,,,,,,,,321,0.0,35425.0,3048.0
,,,,,,,,322,0.0,35157.0,3017.0
,,,,,,,,323,0.0,34825.0,2982.0
,,,,,,,,324,0.0,34408.0,2952.0
,,,,,,,,325,0.0,34282.0,2939.0
,,,,,,,,326,0.0,34344.0,2940.0
,,,,,,,,327,0.0,34648.0,2944.0
,,,,,,,,328,0.0,35613.0,2943.0
,,,,,,,,329,0.0,38524.0,3104.0
,,,,,,,,330,0.0,38260.0,3115.0
,,,,,,,,331,0.0,37023.0,3058.0
,,,,,,,,332,0.0,34684.0,2938.0
,,,,,,,,333,0.0,32103.0,2820.0
,,,,,,,,334,0.0,30442.0,2755.0
,,,,,,,,335,0.0,29751.0,2729.0
,,,,,,,,336,0.0,29687.0,2727.0
,,,,,,,,337,0.0,37334.0,2971.0
,,,,,,,,338,0.0,37625.0,2948.0
,,,,,,,,339,0.0,39263.0,2990.0
,,,,,,,,340,0.0,41481.0,3086.0
,,,,,,,,341,0.0,43294.0,3156.0
,,,,,,,,342,0.0,46464.0,3321.0
,,,,,,,,343,0.0,50369.0,3510.0
,,,,,,,,344,0.0,54809.0,3721.0
,,,,,,,,345,0.0,59087.0,3942.0
,,,,,,,,346,0.0,62686.0,4113.0
,,,,,,,,347,0.0,65869.0,4278.0
,,,,,,,,348,0.0,68290.0,4396.0
,,,,,,,,349,0.0,69750.0,4422.0
,,,,,,,,350,0.0,69466.0,4358.0
,,,,,,,,351,0.0,68174.0,4168.0
,,,,,,,,352,0.0,65952.0,4033.0
,,,,,,,,353,0.0,63029.0,3904.0
,,,,,,,,354,0.0,60867.0,3786.0
,,,,,,,,355,0.0,59399.0,3762.0
,,,,,,,,356,0.0,55092.0,3597.0
,,,,,,,,357,0.0,50047.0,3385.0
,,,,,,,,358,0.0,45882.0,3235.0
,,,,,,,,359,0.0,43235.0,3138.0
,,,,,,,,360,0.0,41524.0,3070.0
,,,,,,,,361,0.0,40440.0,3031.0
,,,,,,,,362,0.0,40383.0,3073.0
,,,,,,,,363,0.0,41796.0,3103.0
,,,,,,,,364,0.0,43965.0,3201.0
,,,,,,,,365,0.0,45529.0,3281.0
,,,,,,,,366,0.0,48570.0,3433.0
,,,,,,,,367,0.0,52464.0,3621.0
,,,,,,,,368,0.0,56671.0,3818.0
,,,,,,,,369,0.0,60713.0,4014.0
,,,,,,,,370,0.0,64247.0,4192.0
,,,,,,,,371,0.0,66905.0,4387.0
,,,,,,,,372,0.0,68483.0,4548.0
,,,,,,,,373,0.0,69072.0,4672.0
,,,,,,,,374,0.0,68672.0,4751.0
,,,,,,,,375,0.0,67919.0,4715.0
,,,,,,,,376,0.0,66301.0,4642.0
,,,,,,,,377,0.0,63804.0,4527.0
,,,,,,,,378,0.0,62035.0,4334.0
,,,,,,,,379,0.0,60660.0,4206.0
,,,,,,,,380,0.0,56343.0,3984.0
,,,,,,,,381,0.0,51336.0,3716.0
,,,,,,,,382,0.0,47130.0,3503.0
,,,,,,,,383,0.0,44171.0,3356.0
,,,,,,,,384,0.0,42120.0,3250.0
,,,,,,,,385,0.0,40966.0,3184.0
,,,,,,,,386,0.0,40794.0,3201.0
,,,,,,,,387,0.0,42168.0,3225.0
,,,,,,,,388,0.0,44304.0,3312.0
,,,,,,,,389,0.0,45943.0,3382.0
,,,,,,,,390,0.0,49283.0,3534.0
,,,,,,,,391,0.0,53650.0,3726.0
,,,,,,,,392,0.0,58208.0,3914.0
,,,,,,,,393,0.0,62462.0,4110.0
,,,,,,,,394,0.0,66031.0,4275.0
,,,,,,,,395,0.0,68927.0,4448.0
,,,,,,,,396,0.0,71043.0,4570.0
,,,,,,,,397,0.0,72037.0,4671.0
,,,,,,,,398,0.0,71727.0,4732.0
,,,,,,,,399,0.0,70515.0,4686.0
,,,,,,,,400,0.0,68637.0,4597.0
,,,,,,,,401,0.0,66208.0,4433.0
,,,,,,,,402,0.0,63958.0,4247.0
,,,,,,,,403,0.0,62248.0,4164.0
,,,,,,,,404,0.0,57876.0,3947.0
,,,,,,,,405,0.0,52808.0,3679.0
,,,,,,,,406,0.0,48583.0,3458.0
,,,,,,,,407,0.0,45636.0,3303.0
,,,,,,,,408,0.0,43427.0,3195.0
,,,,,,,,409,0.0,41960.0,3108.0
,,,,,,,,410,0.0,41646.0,3070.0
,,,,,,,,411,0.0,42873.0,3080.0
,,,,,,,,412,0.0,44919.0,3150.0
,,,,,,,,413,0.0,46404.0,3214.0
,,,,,,,,414,0.0,49981.0,3379.0
,,,,,,,,415,0.0,54488.0,3582.0
,,,,,,,,416,0.0,59207.0,3850.0
,,,,,,,,417,0.0,63591.0,4069.0
,,,,,,,,418,0.0,67104.0,4184.0
,,,,,,,,419,0.0,70585.0,4355.0
,,,,,,,,420,0.0,73235.0,4512.0
,,,,,,,,421,0.0,74942.0,4637.0
,,,,,,,,422,0.0,75326.0,4713.0
,,,,,,,,423,0.0,74311.0,4685.0
,,,,,,,,424,0.0,72165.0,4609.0
,,,,,,,,425,0.0,69480.0,4505.0
,,,,,,,,426,0.0,67054.0,4341.0
,,,,,,,,427,0.0,65061.0,4252.0
,,,,,,,,428,0.0,60259.0,4020.0
,,,,,,,,429,0.0,55008.0,3746.0
,,,,,,,,430,0.0,50555.0,3512.0
,,,,,,,,431,0.0,47346.0,3355.0
,,,,,,,,432,0.0,45275.0,3250.0
,,,,,,,,433,0.0,43903.0,3186.0
,,,,,,,,434,0.0,43541.0,3151.0
,,,,,,,,435,0.0,44535.0,3168.0
,,,,,,,,436,0.0,46191.0,3237.0
,,,,,,,,437,0.0,47470.0,3305.0
,,,,,,,,438,0.0,51137.0,3500.0
,,,,,,,,439,0.0,55940.0,3722.0
,,,,,,,,440,0.0,60943.0,3948.0
,,,,,,,,441,0.0,65514.0,4158.0
,,,,,,,,442,0.0,69568.0,4355.0
,,,,,,,,443,0.0,73325.0,4556.0
,,,,,,,,444,0.0,75879.0,4723.0
,,,,,,,,445,0.0,77101.0,4850.0
,,,,,,,,446,0.0,76893.0,4916.0
,,,,,,,,447,0.0,74973.0,4863.0
,,,,,,,,448,0.0,71495.0,4775.0
,,,,,,,,449,0.0,67830.0,4666.0
,,,,,,,,450,0.0,65133.0,4478.0
,,,,,,,,451,0.0,62986.0,4348.0
,,,,,,,,452,0.0,58994.0,4103.0
,,,,,,,,453,0.0,54401.0,3845.0
,,,,,,,,454,0.0,50095.0,3594.0
,,,,,,,,455,0.0,46980.0,3425.0
,,,,,,,,456,0.0,44681.0,3301.0
,,,,,,,,457,0.0,43014.0,3210.0
,,,,,,,,458,0.0,41954.0,3147.0
,,,,,,,,459,0.0,41886.0,3120.0
,,,,,,,,460,0.0,42082.0,3126.0
,,,,,,,,461,0.0,42668.0,3133.0
,,,,,,,,462,0.0,46508.0,3328.0
,,,,,,,,463,0.0,51800.0,3609.0
,,,,,,,,464,0.0,57207.0,3876.0
,,,,,,,,465,0.0,62334.0,4158.0
,,,,,,,,466,0.0,66672.0,4414.0
,,,,,,,,467,0.0,70324.0,4609.0
,,,,,,,,468,0.0,73234.0,4721.0
,,,,,,,,469,0.0,75294.0,4792.0
,,,,,,,,470,0.0,76290.0,4798.0
,,,,,,,,471,0.0,75849.0,4774.0
,,,,,,,,472,0.0,73758.0,4712.0
,,,,,,,,473,0.0,70475.0,4594.0
,,,,,,,,474,0.0,67666.0,4389.0
,,,,,,,,475,0.0,65285.0,4285.0
,,,,,,,,476,0.0,60887.0,4058.0
,,,,,,,,477,0.0,56291.0,3803.0
,,,,,,,,478,0.0,52079.0,3611.0
,,,,,,,,479,0.0,48556.0,3448.0
,,,,,,,,480,0.0,45893.0,3324.0
,,,,,,,,481,0.0,43970.0,3236.0
,,,,,,,,482,0.0,42719.0,3169.0
,,,,,,,,483,0.0,42195.0,3143.0
,,,,,,,,484,0.0,41912.0,3143.0
,,,,,,,,485,0.0,42094.0,3188.0
,,,,,,,,486,0.0,44894.0,3345.0
,,,,,,,,487,0.0,48963.0,3587.0
,,,,,,,,488,0.0,53210.0,3814.0
,,,,,,,,489,0.0,57560.0,4024.0
,,,,,,,,490,0.0,61567.0,4260.0
,,,,,,,,491,0.0,64971.0,4445.0
,,,,,,,,492,0.0,68085.0,4589.0
,,,,,,,,493,0.0,70175.0,4661.0
,,,,,,,,494,0.0,71395.0,4676.0
,,,,,,,,495,0.0,71428.0,4689.0
,,,,,,,,496,0.0,70041.0,4629.0
,,,,,,,,497,0.0,67549.0,4496.0
,,,,,,,,498,0.0,65464.0,4337.0
,,,,,,,,499,0.0,63818.0,4258.0
,,,,,,,,500,0.0,59483.0,4044.0
,,,,,,,,501,0.0,54582.0,3784.0
,,,,,,,,502,0.0,50206.0,3577.0
,,,,,,,,503,0.0,47142.0,3422.0
,,,,,,,,504,0.0,44977.0,3320.0
,,,,,,,,505,0.0,45127.0,3250.0
,,,,,,,,506,0.0,44698.0,3192.0
,,,,,,,,507,0.0,45943.0,3213.0
,,,,,,,,508,0.0,47836.0,3290.0
